Height,Weight,Label
160,75,Unhealthy
166,67,Healthy
186,55,Unhealthy
185,61,Unhealthy
170,88,Unhealthy
164,95,Unhealthy
167,91,Unhealthy
166,94,Unhealthy
173,77,Unhealthy
169,84,Unhealthy
170,51,Unhealthy
175,68,Healthy
168,56,Healthy
154,64,Unhealthy
159,88,Unhealthy
175,91,Unhealthy
155,96,Unhealthy
155,90,Unhealthy
155,59,Healthy
155,70,Unhealthy
180,61,Healthy
161,82,Unhealthy
187,76,Healthy
165,78,Unhealthy
155,85,Unhealthy
152,99,Unhealthy
174,73,Healthy
185,64,Healthy
165,93,Unhealthy
177,68,Healthy
